iter	MultiClass
0	0.5226944627
1	0.3954582074
2	0.3326498147
3	0.2942875047
4	0.2727474573
5	0.259524139
6	0.2532808814
7	0.2481129359
8	0.2453330678
9	0.2434550432
10	0.2424030693
11	0.241257363
12	0.2407233566
13	0.2403019352
14	0.2399153991
15	0.2396902166
16	0.2394528728
17	0.2392929931
18	0.2392322941
19	0.2390800985
20	0.2390219566
21	0.2389209227
22	0.2388251049
23	0.2387072016
24	0.2386126062
25	0.2385248231
26	0.2384273193
27	0.2382818353
28	0.2381905976
29	0.2380803184
30	0.2379729506
31	0.2378481653
32	0.2377479121
33	0.2376749831
34	0.2375972604
35	0.2375555978
36	0.2374809438
37	0.2373607635
38	0.2372663355
39	0.2371160282
40	0.2370571956
41	0.2370006818
42	0.2368670226
43	0.2367464807
44	0.2367024415
45	0.2366261612
46	0.2365269412
47	0.2364827412
48	0.2364477491
49	0.2364119299
50	0.2363126941
51	0.2362297866
52	0.236182679
53	0.2361238648
54	0.2360132524
55	0.2359519917
56	0.2358542937
57	0.2357904972
58	0.235756452
59	0.2357349943
60	0.2356631744
61	0.2355728485
62	0.2355333481
63	0.2354812595
64	0.2353710987
65	0.2352737936
66	0.2352074189
67	0.2350941376
68	0.235070299
69	0.2350408392
70	0.2350017498
71	0.234935535
72	0.2348977629
73	0.2348728893
74	0.2348410945
75	0.2348091152
76	0.2347761314
77	0.234754722
78	0.2347254214
79	0.2346586274
80	0.2345893916
81	0.2345615727
82	0.2345152043
83	0.2344664451
84	0.2344450274
85	0.2343455194
86	0.2343152637
87	0.2342637821
88	0.2342067311
89	0.2341897939
90	0.2341546769
91	0.2341055894
92	0.234084257
93	0.2340431396
94	0.234007027
95	0.2339070639
96	0.2338659782
97	0.2338396405
98	0.233780615
99	0.2337468579
