iter	Passed	Remaining
0	71	7043
1	86	4238
2	100	3236
3	119	2857
4	144	2746
5	155	2442
6	163	2171
7	187	2161
8	200	2030
9	223	2007
10	245	1986
11	267	1960
12	291	1948
13	315	1935
14	331	1879
15	339	1780
16	355	1737
17	365	1665
18	372	1586
19	393	1572
20	402	1514
21	423	1501
22	445	1490
23	468	1484
24	490	1472
25	513	1462
26	536	1450
27	558	1436
28	581	1423
29	607	1417
30	630	1404
31	652	1386
32	675	1370
33	697	1353
34	721	1339
35	745	1324
36	766	1305
37	789	1288
38	812	1270
39	835	1253
40	858	1235
41	878	1213
42	901	1195
43	922	1173
44	945	1155
45	968	1137
46	992	1119
47	1016	1101
48	1038	1081
49	1061	1061
50	1083	1041
51	1104	1019
52	1127	1000
53	1150	980
54	1172	958
55	1193	937
56	1215	916
57	1238	896
58	1261	876
59	1285	856
60	1308	836
61	1330	815
62	1352	794
63	1373	772
64	1395	751
65	1416	729
66	1439	709
67	1460	687
68	1484	666
69	1507	646
70	1531	625
71	1552	603
72	1574	582
73	1596	560
74	1619	539
75	1642	518
76	1665	497
77	1688	476
78	1710	454
79	1732	433
80	1753	411
81	1775	389
82	1797	368
83	1819	346
84	1841	324
85	1863	303
86	1885	281
87	1909	260
88	1932	238
89	1956	217
90	1977	195
91	1999	173
92	2021	152
93	2043	130
94	2065	108
95	2086	86
96	2110	65
97	2133	43
98	2155	21
99	2177	0
